Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Seccio_censal,Desc_us_desti_principal,Concepte,Nombre
2022,1,Ciutat Vella,1,el Raval,1,Habitatge,Valor_€,66331900.15
2022,1,Ciutat Vella,1,el Raval,1,Aparcaments,Valor_€,2085314.09
2022,1,Ciutat Vella,1,el Raval,1,Comerç,Valor_€,11754825.21
2022,1,Ciutat Vella,1,el Raval,1,Magatzem,Valor_€,8153377.19
2022,1,Ciutat Vella,1,el Raval,1,Oficina,Valor_€,18875939.45
2022,1,Ciutat Vella,1,el Raval,1,Turisme i hostaleria,Valor_€,4892522.16
2022,1,Ciutat Vella,1,el Raval,1,Ensenyament i cultura,Valor_€,24542663.44
2022,1,Ciutat Vella,1,el Raval,1,Sanitat,Valor_€,3702630.96
2022,1,Ciutat Vella,1,el Raval,1,Religiós,Valor_€,976395.84
2022,1,Ciutat Vella,1,el Raval,1,Adm.Pública,Valor_€,9485613.64
2022,1,Ciutat Vella,1,el Raval,1,Espectacles,Valor_€,379007.09
2022,1,Ciutat Vella,1,el Raval,2,Habitatge,Valor_€,52258919.83
2022,1,Ciutat Vella,1,el Raval,2,Aparcaments,Valor_€,980732.84
2022,1,Ciutat Vella,1,el Raval,2,Comerç,Valor_€,7393670.63
2022,1,Ciutat Vella,1,el Raval,2,Magatzem,Valor_€,4301539.70
2022,1,Ciutat Vella,1,el Raval,2,Oficina,Valor_€,682258.77
2022,1,Ciutat Vella,1,el Raval,2,Turisme i hostaleria,Valor_€,19219143.44
2022,1,Ciutat Vella,1,el Raval,2,Ensenyament i cultura,Valor_€,7860726.51
2022,1,Ciutat Vella,1,el Raval,2,Esportiu,Valor_€,2089744.07
2022,1,Ciutat Vella,1,el Raval,2,Espectacles,Valor_€,6251614.32
2022,1,Ciutat Vella,1,el Raval,2,Sòl sense edificar,Valor_€,3918899.50
2022,1,Ciutat Vella,1,el Raval,3,Habitatge,Valor_€,72381494.27
2022,1,Ciutat Vella,1,el Raval,3,Aparcaments,Valor_€,7395302.36
2022,1,Ciutat Vella,1,el Raval,3,Comerç,Valor_€,10121279.15
2022,1,Ciutat Vella,1,el Raval,3,Magatzem,Valor_€,2885028.32
2022,1,Ciutat Vella,1,el Raval,3,Oficina,Valor_€,5319242.98
2022,1,Ciutat Vella,1,el Raval,3,Turisme i hostaleria,Valor_€,14661642.13
2022,1,Ciutat Vella,1,el Raval,3,Ensenyament i cultura,Valor_€,125338.23
2022,1,Ciutat Vella,1,el Raval,3,Sanitat,Valor_€,7751059.75
2022,1,Ciutat Vella,1,el Raval,3,Esportiu,Valor_€,22674.44
2022,1,Ciutat Vella,1,el Raval,3,Espectacles,Valor_€,226466.11
2022,1,Ciutat Vella,1,el Raval,3,Altres,Valor_€,219508.03
2022,1,Ciutat Vella,1,el Raval,4,Habitatge,Valor_€,97473125.23
2022,1,Ciutat Vella,1,el Raval,4,Aparcaments,Valor_€,7212761.69
2022,1,Ciutat Vella,1,el Raval,4,Comerç,Valor_€,12978360.65
2022,1,Ciutat Vella,1,el Raval,4,Magatzem,Valor_€,6129261.93
2022,1,Ciutat Vella,1,el Raval,4,Oficina,Valor_€,5831309.24
2022,1,Ciutat Vella,1,el Raval,4,Turisme i hostaleria,Valor_€,22591629.35
2022,1,Ciutat Vella,1,el Raval,4,Ensenyament i cultura,Valor_€,18647451.15
2022,1,Ciutat Vella,1,el Raval,4,Esportiu,Valor_€,2939588.32
2022,1,Ciutat Vella,1,el Raval,4,Religiós,Valor_€,1503112.80
2022,1,Ciutat Vella,1,el Raval,4,Adm.Pública,Valor_€,6535214.39
2022,1,Ciutat Vella,1,el Raval,4,Espectacles,Valor_€,4538062.83
2022,1,Ciutat Vella,1,el Raval,5,Habitatge,Valor_€,100662701.86
2022,1,Ciutat Vella,1,el Raval,5,Aparcaments,Valor_€,4067048.56
2022,1,Ciutat Vella,1,el Raval,5,Comerç,Valor_€,25537092.74
2022,1,Ciutat Vella,1,el Raval,5,Magatzem,Valor_€,7923337.67
2022,1,Ciutat Vella,1,el Raval,5,Oficina,Valor_€,1283606.09
2022,1,Ciutat Vella,1,el Raval,5,Turisme i hostaleria,Valor_€,41430641.21
2022,1,Ciutat Vella,1,el Raval,5,Adm.Pública,Valor_€,3488764.16
2022,1,Ciutat Vella,1,el Raval,5,Espectacles,Valor_€,66074469.72
2022,1,Ciutat Vella,1,el Raval,5,Altres,Valor_€,4811.65
2022,1,Ciutat Vella,1,el Raval,6,Habitatge,Valor_€,62518602.30
2022,1,Ciutat Vella,1,el Raval,6,Aparcaments,Valor_€,2865486.99
2022,1,Ciutat Vella,1,el Raval,6,Comerç,Valor_€,8868463.06
2022,1,Ciutat Vella,1,el Raval,6,Magatzem,Valor_€,2278752.57
2022,1,Ciutat Vella,1,el Raval,6,Oficina,Valor_€,312132.32
